,Job title,Job link,city,Seniority level,Employment type,Job function,Industries
50,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-selby-jennings-3386276704?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=ESNqT2s748uF%2F6kl%2BhvtPg%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card,United States,Associate,Full-time,Finance,Financial Services
51,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-neteffects-3392154988?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=MQWZwU%2Bzvs8Cs9cehp8wnw%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,United States,Associate,Contract,Engineering and Information Technology,Software Development
52,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-aditi-consulting-3393630478?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=DQCImHym0hkydmhsbiYVXQ%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,Los Angeles Metropolitan Area,Mid-Senior level,Contract,Engineering and Information Technology,"IT Services and IT Consulting, Software Development, and Computers and Electronics Manufacturing"
53,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-mille-lacs-corporate-ventures-3398094547?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=xpwSoq9P1azyi0Cw7hcmsA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,"St Paul, MN",Associate,Full-time,Other,Gambling Facilities and Casinos and Hospitality
54,Data Analyst & Researcher,https://www.linkedin.com/jobs/view/data-analyst-researcher-at-brightaction-3389992077?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=WAdBmoFmq7rdZqR5CO4RdA%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,United States,NA,Contract,NA,NA
55,Data Scientist Internship - ML (US),https://www.linkedin.com/jobs/view/data-scientist-internship-ml-us-at-asurion-3387841448?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=GS6Io%2F7yFxClYYJPCkXzbQ%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,"Nashville, TN",Not Applicable,Full-time,Other,Insurance
56,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384157495?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=gZNTHOy0yILU1P38sl%2FM%2FQ%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,"New Jersey, United States",Entry level,Full-time,Engineering and Information Technology,Internet Publishing
57,ML Engineer Internship - Accelerate,https://www.linkedin.com/jobs/view/ml-engineer-internship-accelerate-at-hugging-face-3392477681?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=mxODxrMu2aFGdqsZ1ip59A%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,"Brooklyn, NY",Internship,Internship,Engineering and Information Technology,Software Development
58,Junior Data Scientist (26),https://www.linkedin.com/jobs/view/junior-data-scientist-26-at-emw-3384706189?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=OhgWoaCjvKiKttW5clDRtg%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,"Norfolk, VA",Associate,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
59,Data Science Graduate Internship (Remote - Summer 2023,https://www.linkedin.com/jobs/view/data-science-graduate-internship-remote-summer-2023-at-the-home-depot-3398206118?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=w99NL8J3rsCz5T5qbRDdUA%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,"Atlanta, GA",Internship,Full-time,Engineering and Information Technology,Retail
